noise_type,snr_nominal_db,replicate,n_windows,snr_inband_mean_db,snr_inband_std_db,snr_inband_median_db,snr_inband_sem_db,snr_fullband_mean_db,inband_offset_db
studio,50,0,250,55.26714593484209,6.207333601657021,52.843583946300875,0.3925862475546505,50.000000018699055,5.267145934842091
studio,50,1,250,54.54910692253768,5.3372319623951725,52.3623376655615,0.3375561880363779,50.00000005070331,4.549106922537682
studio,40,0,250,45.26714598288923,6.207333674895603,42.84358431606151,0.3925862521866651,40.000000026287935,5.267145982889232
studio,40,1,250,44.54910694134187,5.337232268817158,42.362337444242584,0.33755620741620584,39.99999998380584,4.5491069413418685
studio,30,0,250,35.26714595478367,6.20733369847615,32.84358406481489,0.39258625367802985,29.99999998476844,5.267145954783672
studio,30,1,250,34.549106940751315,5.337232254149119,32.3623373030867,0.33755620648851764,29.999999993567123,4.549106940751315
studio,20,0,250,25.267145984172487,6.207333701152714,22.84358389667605,0.3925862538473106,20.000000010030305,5.267145984172487
studio,20,1,250,24.549106939198275,5.337232228574611,22.36233745192111,0.3375562048710437,19.999999997415493,4.549106939198275
studio,10,0,250,15.267145983065793,6.207333723308257,12.843584031326774,0.3925862552485502,10.000000008860997,5.267145983065793
studio,10,1,250,14.549106960460682,5.33723222220854,12.3623370581429,0.337556204468418,10.000000020501313,4.549106960460682
studio,0,0,250,5.267145958639386,6.207333717025611,2.8435836383862823,0.39258625485120074,-1.577445311280163e-08,5.267145958639386
studio,0,1,250,4.549106947260034,5.337232215902527,2.362337353606195,0.33755620406959075,7.447660147229853e-09,4.549106947260034
studio,-5,0,250,0.2671459715518542,6.2073337105681725,-2.1564160244654507,0.3925862544427965,-5.000000002866681,5.267145971551854
studio,-5,1,250,-0.4508930692810611,5.337232213794466,-2.63766260619694,0.3375562039362653,-5.000000009744245,4.5491069307189385
studio,-10,0,250,-4.7328540589188455,6.207333697506678,-7.156416189967468,0.39258625361671506,-10.000000032949483,5.2671459410811545
studio,-10,1,250,-5.450893039388933,5.337232224999934,-7.637662423410722,0.33755620464496133,-9.99999997963247,4.549106960611067
