model,label,noise_type,snr_db,replicate,clean_recall,noisy_recall,recall_loss
cnn,french-horn,studio,20,0,0.939759036145,0.240963855422,0.698795180723
cnn,oboe,studio,20,0,1,0.177215189873,0.822784810127
cnn,trombone,studio,20,0,0.973684210526,0.508771929825,0.464912280702
cnn,trumpet,studio,20,0,1,0.323076923077,0.676923076923
cnn,tuba,studio,20,0,1,0.129032258065,0.870967741935
cnn,viola,studio,20,0,0.971698113208,0.735849056604,0.235849056604
cnn,violin,studio,20,0,0.953488372093,0.488372093023,0.46511627907
cnn,bassoon,studio,10,0,0.876288659794,0.113402061856,0.762886597938
cnn,cello,studio,10,0,0.973913043478,0.286956521739,0.686956521739
cnn,clarinet,studio,10,0,1,0.027027027027,0.972972972973
cnn,double-bass,studio,10,0,0.973913043478,0.991304347826,-0.0173913043478
cnn,flute,studio,10,0,1,0.299145299145,0.700854700855
cnn,french-horn,studio,10,0,0.939759036145,0.10843373494,0.831325301205
cnn,oboe,studio,10,0,1,0.0253164556962,0.974683544304
cnn,trombone,studio,10,0,0.973684210526,0.210526315789,0.763157894737
cnn,trumpet,studio,10,0,1,0.123076923077,0.876923076923
cnn,tuba,studio,10,0,1,0.0564516129032,0.943548387097
cnn,viola,studio,10,0,0.971698113208,0.27358490566,0.698113207547
cnn,violin,studio,10,0,0.953488372093,0.356589147287,0.596899224806
cnn,bassoon,studio,0,0,0.876288659794,0.0309278350515,0.845360824742
cnn,cello,studio,0,0,0.973913043478,0.104347826087,0.869565217391
cnn,clarinet,studio,0,0,1,0,1
cnn,double-bass,studio,0,0,0.973913043478,0.84347826087,0.130434782609
cnn,flute,studio,0,0,1,0.273504273504,0.726495726496
cnn,french-horn,studio,0,0,0.939759036145,0.0481927710843,0.89156626506
cnn,oboe,studio,0,0,1,0.0126582278481,0.987341772152
cnn,trombone,studio,0,0,0.973684210526,0.0614035087719,0.912280701754
cnn,trumpet,studio,0,0,1,0.107692307692,0.892307692308
cnn,tuba,studio,0,0,1,0,1
cnn,viola,studio,0,0,0.971698113208,0.141509433962,0.830188679245
cnn,violin,studio,0,0,0.953488372093,0.418604651163,0.53488372093
cnn,bassoon,studio,-5,0,0.876288659794,0,0.876288659794
cnn,cello,studio,-5,0,0.973913043478,0.0347826086957,0.939130434783
cnn,clarinet,studio,-5,0,1,0,1
cnn,double-bass,studio,-5,0,0.973913043478,0.547826086957,0.426086956522
cnn,flute,studio,-5,0,1,0.222222222222,0.777777777778
cnn,french-horn,studio,-5,0,0.939759036145,0.0602409638554,0.879518072289
cnn,oboe,studio,-5,0,1,0,1
cnn,trombone,studio,-5,0,0.973684210526,0.0438596491228,0.929824561404
cnn,trumpet,studio,-5,0,1,0.0615384615385,0.938461538462
cnn,tuba,studio,-5,0,1,0,1
cnn,viola,studio,-5,0,0.971698113208,0.132075471698,0.839622641509
cnn,violin,studio,-5,0,0.953488372093,0.635658914729,0.317829457364
cnn,bassoon,studio,-10,0,0.876288659794,0,0.876288659794
cnn,cello,studio,-10,0,0.973913043478,0.00869565217391,0.965217391304
cnn,clarinet,studio,-10,0,1,0,1
cnn,double-bass,studio,-10,0,0.973913043478,0.217391304348,0.75652173913
cnn,flute,studio,-10,0,1,0.213675213675,0.786324786325
cnn,french-horn,studio,-10,0,0.939759036145,0.156626506024,0.78313253012
cnn,oboe,studio,-10,0,1,0,1
cnn,trombone,studio,-10,0,0.973684210526,0.114035087719,0.859649122807
cnn,trumpet,studio,-10,0,1,0,1
cnn,tuba,studio,-10,0,1,0,1
cnn,viola,studio,-10,0,0.971698113208,0.122641509434,0.849056603774
cnn,violin,studio,-10,0,0.953488372093,0.643410852713,0.31007751938
cnn,bassoon,studio,50,1,0.876288659794,0.876288659794,0
cnn,cello,studio,50,1,0.973913043478,0.973913043478,0
cnn,clarinet,studio,50,1,1,1,0
cnn,double-bass,studio,50,1,0.973913043478,0.982608695652,-0.00869565217391
cnn,flute,studio,50,1,1,0.974358974359,0.025641025641
cnn,french-horn,studio,50,1,0.939759036145,0.927710843373,0.0120481927711
cnn,oboe,studio,50,1,1,0.987341772152,0.0126582278481
cnn,trombone,studio,50,1,0.973684210526,0.973684210526,0
cnn,trumpet,studio,50,1,1,1,0
cnn,tuba,studio,50,1,1,0.975806451613,0.0241935483871
cnn,viola,studio,50,1,0.971698113208,0.971698113208,0
cnn,violin,studio,50,1,0.953488372093,0.953488372093,0
cnn,bassoon,studio,40,1,0.876288659794,0.835051546392,0.0412371134021
cnn,cello,studio,40,1,0.973913043478,0.973913043478,0
cnn,clarinet,studio,40,1,1,1,0
cnn,double-bass,studio,40,1,0.973913043478,0.973913043478,0
cnn,flute,studio,40,1,1,0.923076923077,0.0769230769231
cnn,french-horn,studio,40,1,0.939759036145,0.78313253012,0.156626506024
cnn,oboe,studio,40,1,1,0.924050632911,0.0759493670886
cnn,trombone,studio,40,1,0.973684210526,0.956140350877,0.0175438596491
cnn,trumpet,studio,40,1,1,0.8,0.2
cnn,tuba,studio,40,1,1,0.782258064516,0.217741935484
cnn,viola,studio,40,1,0.971698113208,0.981132075472,-0.00943396226415
cnn,violin,studio,40,1,0.953488372093,0.891472868217,0.062015503876
cnn,bassoon,studio,30,1,0.876288659794,0.577319587629,0.298969072165
cnn,cello,studio,30,1,0.973913043478,0.913043478261,0.0608695652174
cnn,clarinet,studio,30,1,1,0.954954954955,0.045045045045
cnn,double-bass,studio,30,1,0.973913043478,0.982608695652,-0.00869565217391
cnn,flute,studio,30,1,1,0.632478632479,0.367521367521
cnn,french-horn,studio,30,1,0.939759036145,0.542168674699,0.397590361446
cnn,oboe,studio,30,1,1,0.582278481013,0.417721518987
cnn,trombone,studio,30,1,0.973684210526,0.736842105263,0.236842105263
cnn,trumpet,studio,30,1,1,0.523076923077,0.476923076923
cnn,tuba,studio,30,1,1,0.298387096774,0.701612903226
cnn,viola,studio,30,1,0.971698113208,0.952830188679,0.0188679245283
cnn,violin,studio,30,1,0.953488372093,0.744186046512,0.209302325581
cnn,bassoon,studio,20,1,0.876288659794,0.288659793814,0.587628865979
cnn,cello,studio,20,1,0.973913043478,0.739130434783,0.234782608696
cnn,clarinet,studio,20,1,1,0.486486486486,0.513513513514
cnn,double-bass,studio,20,1,0.973913043478,0.991304347826,-0.0173913043478
cnn,flute,studio,20,1,1,0.376068376068,0.623931623932
cnn,french-horn,studio,20,1,0.939759036145,0.253012048193,0.686746987952
cnn,oboe,studio,20,1,1,0.20253164557,0.79746835443
cnn,trombone,studio,20,1,0.973684210526,0.508771929825,0.464912280702
cnn,trumpet,studio,20,1,1,0.292307692308,0.707692307692
cnn,tuba,studio,20,1,1,0.120967741935,0.879032258065
cnn,viola,studio,20,1,0.971698113208,0.707547169811,0.264150943396
cnn,violin,studio,20,1,0.953488372093,0.496124031008,0.457364341085
cnn,bassoon,studio,10,1,0.876288659794,0.103092783505,0.773195876289
cnn,cello,studio,10,1,0.973913043478,0.286956521739,0.686956521739
cnn,clarinet,studio,10,1,1,0.0720720720721,0.927927927928
cnn,double-bass,studio,10,1,0.973913043478,1,-0.0260869565217
cnn,flute,studio,10,1,1,0.264957264957,0.735042735043
cnn,french-horn,studio,10,1,0.939759036145,0.144578313253,0.795180722892
cnn,oboe,studio,10,1,1,0.0379746835443,0.962025316456
cnn,trombone,studio,10,1,0.973684210526,0.19298245614,0.780701754386
cnn,trumpet,studio,10,1,1,0.123076923077,0.876923076923
cnn,tuba,studio,10,1,1,0.0645161290323,0.935483870968
cnn,viola,studio,10,1,0.971698113208,0.320754716981,0.650943396226
cnn,violin,studio,10,1,0.953488372093,0.263565891473,0.68992248062
cnn,bassoon,studio,0,1,0.876288659794,0.0103092783505,0.865979381443
cnn,cello,studio,0,1,0.973913043478,0.095652173913,0.878260869565
cnn,clarinet,studio,0,1,1,0,1
cnn,double-bass,studio,0,1,0.973913043478,0.860869565217,0.113043478261
cnn,flute,studio,0,1,1,0.264957264957,0.735042735043
cnn,french-horn,studio,0,1,0.939759036145,0.0963855421687,0.843373493976
cnn,oboe,studio,0,1,1,0,1
cnn,trombone,studio,0,1,0.973684210526,0.0526315789474,0.921052631579
cnn,trumpet,studio,0,1,1,0.0461538461538,0.953846153846
cnn,tuba,studio,0,1,1,0,1
cnn,viola,studio,0,1,0.971698113208,0.179245283019,0.792452830189
cnn,violin,studio,0,1,0.953488372093,0.387596899225,0.565891472868
cnn,bassoon,studio,-5,1,0.876288659794,0,0.876288659794
cnn,cello,studio,-5,1,0.973913043478,0.0434782608696,0.930434782609
cnn,clarinet,studio,-5,1,1,0,1
cnn,double-bass,studio,-5,1,0.973913043478,0.44347826087,0.530434782609
cnn,flute,studio,-5,1,1,0.290598290598,0.709401709402
cnn,french-horn,studio,-5,1,0.939759036145,0.132530120482,0.807228915663
cnn,oboe,studio,-5,1,1,0,1
cnn,trombone,studio,-5,1,0.973684210526,0.0526315789474,0.921052631579
cnn,trumpet,studio,-5,1,1,0.0461538461538,0.953846153846
cnn,tuba,studio,-5,1,1,0,1
cnn,viola,studio,-5,1,0.971698113208,0.150943396226,0.820754716981
cnn,violin,studio,-5,1,0.953488372093,0.596899224806,0.356589147287
cnn,bassoon,studio,-10,1,0.876288659794,0,0.876288659794
cnn,cello,studio,-10,1,0.973913043478,0.00869565217391,0.965217391304
cnn,clarinet,studio,-10,1,1,0,1
cnn,double-bass,studio,-10,1,0.973913043478,0.165217391304,0.808695652174
cnn,flute,studio,-10,1,1,0.196581196581,0.803418803419
cnn,french-horn,studio,-10,1,0.939759036145,0.132530120482,0.807228915663
