model,label,noise_type,replicate,recall_loss_auc
mert,violin,studio,0,0.0720284237726
mert,bassoon,studio,1,0.323024054983
mert,cello,studio,1,0.266666666667
mert,clarinet,studio,1,0.52027027027
mert,double-bass,studio,1,0.0264492753623
mert,flute,studio,1,0.122507122507
mert,french-horn,studio,1,0.230923694779
mert,oboe,studio,1,0.438291139241
mert,trombone,studio,1,0.392543859649
mert,trumpet,studio,1,0.378205128205
mert,tuba,studio,1,0.564516129032
mert,viola,studio,1,0.235849056604
mert,violin,studio,1,0.0529715762274
ast,bassoon,white,0,0.560137457045
ast,cello,white,0,0.43152173913
ast,clarinet,white,0,0.237612612613
ast,double-bass,white,0,0.140217391304
ast,flute,white,0,0.263888888889
ast,french-horn,white,0,0.390562248996
ast,oboe,white,0,0.583333333333
ast,trombone,white,0,0.0303362573099
ast,trumpet,white,0,0.585897435897
ast,tuba,white,0,0.399865591398
ast,viola,white,0,0.365172955975
ast,violin,white,0,0.139534883721
ast,bassoon,white,1,0.548109965636
ast,cello,white,1,0.423913043478
ast,clarinet,white,1,0.225600600601
ast,double-bass,white,1,0.133695652174
ast,flute,white,1,0.26103988604
ast,french-horn,white,1,0.380020080321
ast,oboe,white,1,0.581223628692
ast,trombone,white,1,0.0222953216374
ast,trumpet,white,1,0.586538461538
ast,tuba,white,1,0.385752688172
ast,viola,white,1,0.361242138365
ast,violin,white,1,0.141795865633
ast,bassoon,audience,0,0.287800687285
ast,cello,audience,0,0.180072463768
ast,clarinet,audience,0,0.127627627628
ast,double-bass,audience,0,0.0228260869565
ast,flute,audience,0,0.185541310541
ast,french-horn,audience,0,0.285642570281
ast,oboe,audience,0,0.338080168776
ast,trombone,audience,0,0.0800438596491
ast,trumpet,audience,0,0.236538461538
ast,tuba,audience,0,0.407930107527
ast,viola,audience,0,0.133647798742
ast,violin,audience,0,0.22642118863
ast,bassoon,audience,1,0.283505154639
ast,cello,audience,1,0.18731884058
ast,clarinet,audience,1,0.123873873874
ast,double-bass,audience,1,0.0365942028986
ast,flute,audience,1,0.176282051282
ast,french-horn,audience,1,0.265562248996
ast,oboe,audience,1,0.31276371308
ast,trombone,audience,1,0.094298245614
ast,trumpet,audience,1,0.224358974359
ast,tuba,audience,1,0.335349462366
ast,viola,audience,1,0.162735849057
ast,violin,audience,1,0.266149870801
ast,bassoon,studio,0,0.397336769759
ast,cello,studio,0,0.165579710145
ast,clarinet,studio,0,0.179054054054
ast,double-bass,studio,0,0.0235507246377
ast,flute,studio,0,0.174145299145
ast,french-horn,studio,0,0.237449799197
ast,oboe,studio,0,0.376054852321
ast,trombone,studio,0,0.116959064327
ast,trumpet,studio,0,0.333333333333
ast,tuba,studio,0,0.399193548387
ast,viola,studio,0,0.126965408805
ast,violin,studio,0,0.321705426357
ast,bassoon,studio,1,0.411512027491
ast,cello,studio,1,0.176449275362
ast,clarinet,studio,1,0.178678678679
ast,double-bass,studio,1,0.0329710144928
ast,flute,studio,1,0.187678062678
ast,french-horn,studio,1,0.211345381526
ast,oboe,studio,1,0.386075949367
ast,trombone,studio,1,0.119152046784
ast,trumpet,studio,1,0.355128205128
ast,tuba,studio,1,0.427419354839
ast,viola,studio,1,0.127358490566
ast,violin,studio,1,0.322351421189
panns,bassoon,white,0,0.735824742268
panns,cello,white,0,0.857246376812
panns,clarinet,white,0,0.370495495495
panns,double-bass,white,0,0.755797101449
panns,flute,white,0,0.38603988604
panns,french-horn,white,0,0.647590361446
panns,oboe,white,0,0.726793248945
panns,trombone,white,0,0.102704678363
panns,trumpet,white,0,0.682051282051
panns,tuba,white,0,0.723790322581
panns,viola,white,0,0.49213836478
panns,violin,white,0,0.239018087855
panns,bassoon,white,1,0.735824742268
panns,cello,white,1,0.851449275362
panns,clarinet,white,1,0.355105105105
panns,double-bass,white,1,0.759420289855
panns,flute,white,1,0.392094017094
panns,french-horn,white,1,0.647590361446
panns,oboe,white,1,0.733122362869
panns,trombone,white,1,0.102339181287
panns,trumpet,white,1,0.683333333333
panns,tuba,white,1,0.725134408602
panns,viola,white,1,0.502358490566
panns,violin,white,1,0.239664082687
panns,bassoon,audience,0,0.232817869416
panns,cello,audience,0,0.367753623188
panns,clarinet,audience,0,0.138888888889
panns,double-bass,audience,0,0.152173913043
panns,flute,audience,0,0.176638176638
panns,french-horn,audience,0,0.388052208835
panns,oboe,audience,0,0.319092827004
panns,trombone,audience,0,0.115497076023
panns,trumpet,audience,0,0.253205128205
panns,tuba,audience,0,0.277889784946
panns,viola,audience,0,0.130110062893
panns,violin,audience,0,0.130813953488
panns,bassoon,audience,1,0.215635738832
panns,cello,audience,1,0.321739130435
panns,clarinet,audience,1,0.149024024024
panns,double-bass,audience,1,0.139855072464
panns,flute,audience,1,0.192307692308
panns,french-horn,audience,1,0.370481927711
panns,oboe,audience,1,0.270042194093
panns,trombone,audience,1,0.111476608187
panns,trumpet,audience,1,0.264743589744
panns,tuba,audience,1,0.265793010753
panns,viola,audience,1,0.186713836478
panns,violin,audience,1,0.162790697674
panns,bassoon,studio,0,0.348367697595
panns,cello,studio,0,0.420652173913
panns,clarinet,studio,0,0.190315315315
panns,double-bass,studio,0,0.201811594203
panns,flute,studio,0,0.125
panns,french-horn,studio,0,0.386044176707
panns,oboe,studio,0,0.37447257384
panns,trombone,studio,0,0.104532163743
panns,trumpet,studio,0,0.380128205128
panns,tuba,studio,0,0.339717741935
panns,viola,studio,0,0.295990566038
panns,violin,studio,0,0.0717054263566
panns,bassoon,studio,1,0.350515463918
panns,cello,studio,1,0.441666666667
panns,clarinet,studio,1,0.171546546547
panns,double-bass,studio,1,0.207971014493
panns,flute,studio,1,0.143518518519
panns,french-horn,studio,1,0.352911646586
panns,oboe,studio,1,0.383438818565
panns,trombone,studio,1,0.0994152046784
panns,trumpet,studio,1,0.405769230769
panns,tuba,studio,1,0.338373655914
panns,viola,studio,1,0.307389937107
panns,violin,studio,1,0.0807493540052
