model,instrument_a,instrument_b,noise_type,mean_confusion_increase_auc,min_confusion_increase_auc,max_confusion_increase_auc,n_replicates
cnn,clarinet,flute,white,0.000712250712251,0.000712250712251,0.000712250712251,2
cnn,clarinet,french-horn,white,0.00602409638554,0.00602409638554,0.00602409638554,2
cnn,clarinet,oboe,white,0,0,0,2
cnn,clarinet,trombone,white,0.0993954480797,0.0982693219535,0.100521574206,2
cnn,clarinet,trumpet,white,0.0317307692308,0.0294871794872,0.0339743589744,2
cnn,clarinet,tuba,white,0.00134408602151,0.00134408602151,0.00134408602151,2
cnn,clarinet,viola,white,0,0,0,2
cnn,clarinet,violin,white,0.110871045464,0.109958796005,0.111783294923,2
cnn,double-bass,flute,white,0.0366871051654,0.034188034188,0.0391861761427,2
cnn,double-bass,french-horn,white,0.0956456259822,0.0926335777894,0.098657674175,2
cnn,double-bass,oboe,white,0.0527426160338,0.0495780590717,0.0559071729958,2
cnn,double-bass,trombone,white,0.129184146962,0.129099923722,0.129268370201,2
cnn,double-bass,trumpet,white,0.0730769230769,0.0705128205128,0.075641025641,2
cnn,double-bass,tuba,white,0.19623655914,0.194892473118,0.197580645161,2
cnn,double-bass,viola,white,0.00432389937107,0.00393081761006,0.00471698113208,2
cnn,double-bass,violin,white,0.182676805977,0.18109762948,0.184255982474,2
cnn,flute,french-horn,white,0.0500549205368,0.0489050217966,0.0512048192771,2
cnn,flute,oboe,white,0.148206751055,0.144514767932,0.151898734177,2
cnn,flute,trombone,white,0.0532501124606,0.0528846153846,0.0536156095367,2
cnn,flute,trumpet,white,0.00128205128205,0.00128205128205,0.00128205128205,2
cnn,flute,tuba,white,0.00470430107527,0.00403225806452,0.00537634408602,2
cnn,flute,viola,white,0.0550314465409,0.0546383647799,0.0554245283019,2
cnn,flute,violin,white,0.130710428676,0.12747217253,0.133948684821,2
cnn,french-horn,oboe,white,0.000527426160338,0.000527426160338,0.000527426160338,2
cnn,french-horn,trombone,white,0.137607447333,0.135484922145,0.139729972522,2
cnn,french-horn,trumpet,white,0.00192307692308,0.00128205128205,0.0025641025641,2
cnn,french-horn,tuba,white,0.0257056451613,0.0252016129032,0.0262096774194,2
cnn,french-horn,viola,white,-0.000294811320755,-0.000982704402516,0.000393081761006,2
cnn,french-horn,violin,white,0.0299949799197,0.0293674698795,0.0306224899598,2
cnn,oboe,trombone,white,0.0553797468354,0.0548523206751,0.0559071729958,2
cnn,oboe,trumpet,white,0,0,0,2
cnn,oboe,tuba,white,0,0,0,2
cnn,oboe,viola,white,0.00527426160338,0.0042194092827,0.00632911392405,2
cnn,oboe,violin,white,0.150316455696,0.148734177215,0.151898734177,2
cnn,trombone,trumpet,white,0.225320512821,0.224038461538,0.226602564103,2
cnn,trombone,tuba,white,0.228158602151,0.226646505376,0.229670698925,2
cnn,trombone,viola,white,0.0244693396226,0.0239779874214,0.0249606918239,2
cnn,trombone,violin,white,0.0722770467836,0.0714334285326,0.0731206650347,2
cnn,trumpet,tuba,white,0,0,0,2
cnn,trumpet,viola,white,0,0,0,2
cnn,trumpet,violin,white,0.134615384615,0.131730769231,0.1375,2
cnn,tuba,viola,white,0,0,0,2
cnn,tuba,violin,white,0.0367943548387,0.0357862903226,0.0378024193548,2
cnn,viola,violin,white,0.159787735849,0.158411949686,0.161163522013,2
cnn,bassoon,cello,audience,0.0180300313761,0.0157347228448,0.0203253399074,2
cnn,bassoon,clarinet,audience,0.0272766323024,0.0240549828179,0.0304982817869,2
cnn,bassoon,double-bass,audience,0.0753343044972,0.0718978783804,0.0787707306141,2
cnn,bassoon,flute,audience,0.00848367697595,0.00536941580756,0.0115979381443,2
cnn,bassoon,french-horn,audience,-0.00836723181385,-0.0106819028692,-0.0060525607585,2
cnn,bassoon,oboe,audience,-0.0183769955196,-0.0187045978511,-0.018049393188,2
cnn,bassoon,trombone,audience,0.0229170434678,0.0224234340146,0.023410652921,2
cnn,bassoon,trumpet,audience,-0.00085910652921,-0.00107388316151,-0.000644329896907,2
cnn,bassoon,tuba,audience,0,0,0,2
cnn,bassoon,viola,audience,0.00128865979381,0.00085910652921,0.00171821305842,2
cnn,bassoon,violin,audience,0.0636238312155,0.0578731452623,0.0693745171688,2
cnn,cello,clarinet,audience,0.00432579318449,0.00295077686382,0.00570080950516,2
cnn,cello,double-bass,audience,0.0779891304348,0.0724637681159,0.0835144927536,2
cnn,cello,flute,audience,0.0197974730583,0.0196240554936,0.0199708906231,2
cnn,cello,french-horn,audience,0.0358935742972,0.0318775100402,0.0399096385542,2
cnn,cello,oboe,audience,0.0214926160338,0.0208333333333,0.0221518987342,2
cnn,cello,trombone,audience,0.0209795321637,0.0159610983982,0.0259979659293,2
cnn,cello,trumpet,audience,0,0,0,2
cnn,cello,tuba,audience,0,0,0,2
cnn,cello,viola,audience,0.00199275362319,0.00199275362319,0.00199275362319,2
cnn,cello,violin,audience,0.083755336479,0.08028592293,0.0872247500281,2
cnn,clarinet,double-bass,audience,0.0143450515733,0.0108858858859,0.0178042172607,2
cnn,clarinet,flute,audience,0.0117834180334,0.00690113190113,0.0166657041657,2
cnn,clarinet,french-horn,audience,0.0207078313253,0.0193273092369,0.0220883534137,2
cnn,clarinet,oboe,audience,0.0133127589615,0.012957577831,0.013667940092,2
cnn,clarinet,trombone,audience,0.0531477200885,0.0497569938359,0.0565384463411,2
cnn,clarinet,trumpet,audience,0.0470850658351,0.045302032802,0.0488680988681,2
cnn,clarinet,tuba,audience,0.0193212365591,0.0179771505376,0.0206653225806,2
cnn,clarinet,viola,audience,0.000375375375375,0,0.000750750750751,2
cnn,clarinet,violin,audience,0.083931315036,0.0815437530554,0.0863188770166,2
cnn,double-bass,flute,audience,0.0336879103183,0.0311826458566,0.0361931747801,2
cnn,double-bass,french-horn,audience,0.0655120481928,0.0650100401606,0.0660140562249,2
cnn,double-bass,oboe,audience,0.0133175105485,0.0131856540084,0.0134493670886,2
cnn,double-bass,trombone,audience,0.0519776570048,0.0514206712433,0.0525346427663,2
cnn,double-bass,trumpet,audience,0.0314102564103,0.0288461538462,0.0339743589744,2
cnn,double-bass,tuba,audience,0.142486266947,0.133762856475,0.151209677419,2
cnn,double-bass,viola,audience,0.00411966776046,0.00235849056604,0.00588084495488,2
cnn,double-bass,violin,audience,0.11560639254,0.104646949781,0.126565835299,2
cnn,flute,french-horn,audience,0.0126993014794,0.0105743486768,0.0148242542821,2
cnn,flute,oboe,audience,0.0180846316131,0.0145042194093,0.0216650438169,2
cnn,flute,trombone,audience,0.0136873969111,0.0113350952167,0.0160396986055,2
cnn,flute,trumpet,audience,0.000480769230769,0,0.000961538461538,2
cnn,flute,tuba,audience,0.00663642473118,0.00621639784946,0.0070564516129,2
cnn,flute,viola,audience,0.0191089810783,0.0173913481697,0.020826613987,2
