model,instrument_a,instrument_b,noise_type,replicate,confusion_increase_auc
svm,cello,trombone,audience,1,0.0102227943046
svm,cello,trumpet,audience,1,0.0179208472687
svm,cello,tuba,audience,1,0.0740927419355
svm,cello,viola,audience,1,0.0157642876675
svm,cello,violin,audience,1,0.050584204022
svm,clarinet,double-bass,audience,1,0.0498318971145
svm,clarinet,flute,audience,1,0.110957110957
svm,clarinet,french-horn,audience,1,0.0871571873078
svm,clarinet,oboe,audience,1,0.144322328658
svm,clarinet,trombone,audience,1,0.082271416153
svm,clarinet,trumpet,audience,1,0.0950421575422
svm,clarinet,tuba,audience,1,0.0782930107527
svm,clarinet,viola,audience,1,0.0465908125106
svm,clarinet,violin,audience,1,0.055603568685
svm,double-bass,flute,audience,1,0.0152561005822
svm,double-bass,french-horn,audience,1,0.00652610441767
svm,double-bass,oboe,audience,1,0.00105485232068
svm,double-bass,trombone,audience,1,0.00986842105263
svm,double-bass,trumpet,audience,1,0.00790133779264
svm,double-bass,tuba,audience,1,0.102331697055
svm,double-bass,viola,audience,1,0.0396482772765
svm,double-bass,violin,audience,1,0.0233850129199
svm,flute,french-horn,audience,1,0.00476907630522
svm,flute,oboe,audience,1,0.0537591510693
svm,flute,trombone,audience,1,0.0126096491228
svm,flute,trumpet,audience,1,0.0290598290598
svm,flute,tuba,audience,1,0.00487231182796
svm,flute,viola,audience,1,0.0446685346449
svm,flute,violin,audience,1,0.0283533757371
svm,french-horn,oboe,audience,1,-0.00580168776371
svm,french-horn,trombone,audience,1,0.00244618826182
svm,french-horn,trumpet,audience,1,0.0152957985789
svm,french-horn,tuba,audience,1,0.00672043010753
svm,french-horn,viola,audience,1,0.0115793362128
svm,french-horn,violin,audience,1,0.0322900127642
svm,oboe,trombone,audience,1,0.00210970464135
svm,oboe,trumpet,audience,1,0.0138550795196
svm,oboe,tuba,audience,1,0
svm,oboe,viola,audience,1,0.00738396624473
svm,oboe,violin,audience,1,0.0118670886076
svm,trombone,trumpet,audience,1,0.0501152721547
svm,trombone,tuba,audience,1,0.00841527541973
svm,trombone,viola,audience,1,0.00822368421053
svm,trombone,violin,audience,1,0.0239655582755
svm,trumpet,tuba,audience,1,0
svm,trumpet,viola,audience,1,0.0142809627479
svm,trumpet,violin,audience,1,0.0175089445438
svm,tuba,viola,audience,1,0.0161290322581
svm,tuba,violin,audience,1,0.00487231182796
svm,viola,violin,audience,1,0.0565138827946
svm,bassoon,cello,studio,0,0.0191151202749
svm,bassoon,clarinet,studio,0,0.0962199312715
svm,bassoon,double-bass,studio,0,0.0584192439863
svm,bassoon,flute,studio,0,0.0158934707904
svm,bassoon,french-horn,studio,0,0.0126769966464
svm,bassoon,oboe,studio,0,-0.0111683848797
svm,bassoon,trombone,studio,0,0.00601374570447
svm,bassoon,trumpet,studio,0,-0.0120274914089
svm,bassoon,tuba,studio,0,0
svm,bassoon,viola,studio,0,0.00773195876289
svm,bassoon,violin,studio,0,0.0115979381443
svm,cello,clarinet,studio,0,0.112563650607
svm,cello,double-bass,studio,0,0.0789855072464
svm,cello,flute,studio,0,0.0394617862009
svm,cello,french-horn,studio,0,0.0306224899598
svm,cello,oboe,studio,0,0.0537974683544
svm,cello,trombone,studio,0,0.0107821637427
svm,cello,trumpet,studio,0,0.0285256410256
svm,cello,tuba,studio,0,0.0139448924731
svm,cello,viola,studio,0,0.0235490155865
svm,cello,violin,studio,0,0.0313799011347
